,Date,Number of Tweets
0,2018-01-09 21:33:39+00:00,200.0
1,2018-01-16 19:35:28.443180+00:00,86.0
2,2018-01-23 17:37:17.886360+00:00,111.0
3,2018-01-30 15:39:07.329540+00:00,95.0
4,2018-02-06 13:40:56.772740+00:00,98.0
5,2018-02-13 11:42:46.215900+00:00,82.0
6,2018-02-20 09:44:35.659100+00:00,86.0
7,2018-02-27 07:46:25.102280+00:00,83.0
8,2018-03-06 05:48:14.545460+00:00,99.0
9,2018-03-13 03:50:03.988640+00:00,41.0
10,2018-03-20 01:51:53.431820+00:00,35.0
11,2018-03-26 23:53:42.875000+00:00,23.0
12,2018-04-02 21:55:32.318180+00:00,24.0
13,2018-04-09 19:57:21.761360+00:00,21.0
14,2018-04-16 17:59:11.204540+00:00,29.0
15,2018-04-23 16:01:00.647720+00:00,24.0
16,2018-04-30 14:02:50.090920+00:00,15.0
17,2018-05-07 12:04:39.534100+00:00,22.0
18,2018-05-14 10:06:28.977280+00:00,14.0
19,2018-05-21 08:08:18.420460+00:00,26.0
20,2018-05-28 06:10:07.863640+00:00,23.0
21,2018-06-04 04:11:57.306820+00:00,39.0
22,2018-06-11 02:13:46.750000+00:00,17.0
23,2018-06-18 00:15:36.193180+00:00,15.0
24,2018-06-24 22:17:25.636360+00:00,19.0
25,2018-07-01 20:19:15.079540+00:00,35.0
26,2018-07-08 18:21:04.522740+00:00,43.0
27,2018-07-15 16:22:53.965900+00:00,27.0
28,2018-07-22 14:24:43.409100+00:00,21.0
29,2018-07-29 12:26:32.852280+00:00,17.0
30,2018-08-05 10:28:22.295460+00:00,39.0
31,2018-08-12 08:30:11.738640+00:00,25.0
32,2018-08-19 06:32:01.181820+00:00,16.0
33,2018-08-26 04:33:50.625000+00:00,12.0
34,2018-09-02 02:35:40.068180+00:00,12.0
35,2018-09-09 00:37:29.511360+00:00,5.0
36,2018-09-15 22:39:18.954560+00:00,12.0
37,2018-09-22 20:41:08.397720+00:00,8.0
38,2018-09-29 18:42:57.840920+00:00,22.0
39,2018-10-06 16:44:47.284100+00:00,109.0
40,2018-10-13 14:46:36.727280+00:00,36.0
41,2018-10-20 12:48:26.170460+00:00,22.0
42,2018-10-27 10:50:15.613640+00:00,24.0
43,2018-11-03 08:52:05.056820+00:00,8.0
44,2018-11-10 06:53:54.500000+00:00,13.0
45,2018-11-17 04:55:43.943180+00:00,9.0
46,2018-11-24 02:57:33.386360+00:00,5.0
47,2018-12-01 00:59:22.829540+00:00,20.0
48,2018-12-07 23:01:12.272720+00:00,5.0
49,2018-12-14 21:03:01.715920+00:00,19.0
50,2018-12-21 19:04:51.159080+00:00,6.0
51,2018-12-28 17:06:40.602280+00:00,31.0
52,2019-01-04 15:08:30.045460+00:00,12.0
53,2019-01-11 13:10:19.488640+00:00,5.0
54,2019-01-18 11:12:08.931820+00:00,7.0
55,2019-01-25 09:13:58.375000+00:00,6.0
56,2019-02-01 07:15:47.818180+00:00,7.0
57,2019-02-08 05:17:37.261360+00:00,7.0
58,2019-02-15 03:19:26.704540+00:00,10.0
59,2019-02-22 01:21:16.147740+00:00,23.0
60,2019-02-28 23:23:05.590900+00:00,17.0
61,2019-03-07 21:24:55.034100+00:00,14.0
62,2019-03-14 19:26:44.477280+00:00,13.0
63,2019-03-21 17:28:33.920460+00:00,66.0
64,2019-03-28 15:30:23.363640+00:00,44.0
65,2019-04-04 13:32:12.806820+00:00,33.0
66,2019-04-11 11:34:02.250000+00:00,31.0
67,2019-04-18 09:35:51.693180+00:00,35.0
68,2019-04-25 07:37:41.136360+00:00,61.0
69,2019-05-02 05:39:30.579560+00:00,51.0
70,2019-05-09 03:41:20.022720+00:00,53.0
71,2019-05-16 01:43:09.465920+00:00,40.0
72,2019-05-22 23:44:58.909100+00:00,32.0
73,2019-05-29 21:46:48.352280+00:00,25.0
74,2019-06-05 19:48:37.795460+00:00,27.0
75,2019-06-12 17:50:27.238640+00:00,24.0
76,2019-06-19 15:52:16.681820+00:00,41.0
77,2019-06-26 13:54:06.125000+00:00,15.0
78,2019-07-03 11:55:55.568180+00:00,14.0
79,2019-07-10 09:57:45.011380+00:00,10.0
80,2019-07-17 07:59:34.454540+00:00,15.0
81,2019-07-24 06:01:23.897740+00:00,8.0
82,2019-07-31 04:03:13.340920+00:00,10.0
83,2019-08-07 02:05:02.784100+00:00,5.0
84,2019-08-14 00:06:52.227280+00:00,2.0
85,2019-08-20 22:08:41.670460+00:00,11.0
86,2019-08-27 20:10:31.113640+00:00,3.0
87,2019-09-03 18:12:20.556820+00:00,7.0
