,index,num_tweets,City,State,Acronym,2018 Population Estimate,tweets_per_100k
8,"Neptune Beach, FL",28,Neptune Beach,FL,FL,7297,383.71933671371795
1,"Norwalk, CT",304,Norwalk,CT,CT,89047,341.39274765011737
10,"Rensselaer, New York",22,Rensselaer,NY,NY,9212,238.81893182805038
5,"Brentwood, TN",60,Brentwood,TN,TN,42502,141.1698273022446
0,"Boston, MA",390,Boston,MA,MA,694583,56.14879719198426
11,"Danvers, MA",17,Beverly,MA,MA,42312,40.17772735866894
2,"Washington, DC",224,Washington,DC,DC,702455,31.88816365461133
3,"St Louis, MO",90,St Louis,MO,MO,302838,29.71885958829473
13,"St Charles, MO",16,St Charles,MO,MO,70764,22.610366853202194
14,"Ann Arbor, MI",13,Ann Arbor,MI,MI,121890,10.665354007711871
4,"Charlotte, NC",80,Charlotte,NC,NC,872498,9.16907545919876
7,"Baltimore, MD",30,Baltimore,MD,MD,602495,4.979294433978705
6,"Chicago, IL",49,Chicago,IL,IL,2705994,1.810794850247266
17,"Nashville, TN",12,Nashville,TN,TN,669053,1.793579880816617
18,"Seattle, WA",12,Seattle,WA,WA,744955,1.610835553825399
16,"Austin, TX",13,Austin,TX,TX,964254,1.3481924887011099
12,"Dallas, TX",17,Dallas,TX,TX,1345047,1.2638963545511792
15,"Philadelphia, PA",13,Philadelphia,PA,PA,1584138,0.8206355759409849
9,"New York, NY",27,New York,NY,NY,8398748,0.3214764867334988
